"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,Nørrebro - Haraldsgade-kvarteret,659,350,309
,,,,Vesterbro - Vest,825,453,372
,,,,Vesterbro - Central,1939,1106,833
,,,,Vesterbro - Øst,599,327,272
,,,,Vesterbro - Syd,226,132,94
,,,,Kgs. Enghave - Bavnehøj,383,233,150
,,,,Kgs. Enghave - Gl. Sydhavn,1631,972,659
,,,,Kgs. Enghave - Holmene,878,483,395
,,,,Valby - Gl. Valby,1012,578,434
,,,,Valby - Syd,1796,1031,765
,,,,Valby - Ålholm,956,548,408
,,,,Valby - Valby Sydvest,1106,636,470
,,,,Valby - Vigerslev,740,458,282
,,,,Vanløse - Jyllingevej Kvarter,1186,655,531
,,,,Vanløse - Jernbane Allé Kvarter,1219,686,533
,,,,Vanløse - Sallingvej Kvarter,789,452,337
,,,,Vanløse - Grøndals Park Kvarter,497,289,208
,,,,Brønshøj-Husum - Husum,1666,932,734
,,,,Brønshøj-Husum - Husum Nord,632,361,271
,,,,Brønshøj-Husum - Tingbjerg,199,86,113
,,,,Brønshøj-Husum - Brønshøj,967,539,428
,,,,Brønshøj-Husum - Bellahøj,312,184,128
,,,,Bispebjerg - Emdrup,446,264,182
,,,,Bispebjerg- Ryparken-Lundehus,581,325,256
,,,,Bispebjerg - Bispebjerg,551,310,241
,,,,Bispebjerg - Utterslev,466,268,198
,,,,Bispebjerg - Nordvest,2300,1394,906
,,,,Amager Øst - Amagerbro Øst,2116,1173,943
,,,,Amager Øst - Sundbyøster,1366,784,582
,,,,Amager Øst - Villakvartererne,1592,901,691
,,,,Amager Øst - Nordøstamager,524,302,222
,,,,Amager Vest - Amagerbro Vest,583,333,250
,,,,Amager Vest - Bryggen Syd,361,200,161
,,,,Amager Vest - Faste Batteri,232,119,113
,,,,Amager Vest - Gamle Bryggen,655,367,288
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),177,98,79
,,,,Amager Vest - Kolonihavekvarteret,598,342,256
,,,,Amager Vest - Sundbyvester,1429,753,676
,,,,Amager Vest - Sundholmsvejs kvarteret,1198,667,531
,,,,Amager Vest - Urbanplanen,572,313,259
,,,,Amager Vest - Ørestad City,550,301,249
,,,,Amager Vest - Ørestad Syd,856,490,366
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,66010,32367,33643
,,,,district - inner city,6958,3417,3541
,,,,district - Østerbro,8650,4310,4340
,,,,district - Nørrebro,9248,4289,4959
,,,,district - Vesterbro/Kongens Enghave,8772,4319,4453
,,,,district - Valby,6339,3141,3198
,,,,district - Vanløse,3631,1858,1773
,,,,district - Brønshøj-Husum,2484,1284,1200
,,,,district - Bispebjerg,5112,2444,2668
,,,,district - Amager Øst,6685,3191,3494
,,,,district - Amager Vest,7951,3998,3953
,,,,local committee - inner city,5574,2717,2857
,,,,local committee - Christianshavn,1384,700,684
,,,,local committee - Østerbro,8650,4310,4340
,,,,local committee - Nørrebro,9248,4289,4959
,,,,local committee - Vesterbro,5209,2514,2695
,,,,local committee - Kgs. Enghave,3563,1805,1758
,,,,local committee - Valby,6339,3141,3198
,,,,local committee - Vanløse,3631,1858,1773
,,,,local committee - Brønshøj-Husum,2484,1284,1200
,,,,local committee - Bispebjerg,5112,2444,2668
,,,,local committee - Amager Øst,6685,3191,3494
,,,,local committee - Amager Vest,7951,3998,3953
,,,,inner city - Middelalderbyen,1372,640,732
,,,,inner city - Metropolzonen,265,132,133
,,,,inner city - Nansensgade-kvarteret,872,415,457
,,,,inner city - Øster Farimagsgade-kvarteret,842,412,430
,,,,inner city - Østerport,478,232,246
,,,,inner city - Frederiksstaden,1311,690,621
,,,,inner city - Gammelholm og Nyhavn,434,196,238
,,,,Christianshavn - Neden Vandet,230,128,102
,,,,Christianshavn - Oven Vandet,774,368,406
,,,,Christianshavn - Holmen og Refshaleøen,380,204,176
,,,,Østerbro - Nord/Komponistkvarteret,407,189,218
,,,,Østerbro - Svanemøllen Syd/Øst,1069,527,542
,,,,Østerbro - yearshusgade Nord,1259,640,619
,,,,Østerbro - yearshusgade Syd,1404,683,721
,,,,Østerbro - Rosenvænget,1061,539,522
,,,,Østerbro - Ny Ryvang,189,96,93
,,,,Østerbro - Nord,385,206,179
,,,,Østerbro - Nordhavn,514,262,252
,,,,Østerbro - Lyngbyvej Vest,468,235,233
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,884,449,435
,,,,Østerbro - Fælled,1010,484,526
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1461,687,774
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2588,1244,1344
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1976,872,1104
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2067,942,1125
,,,,Nørrebro - Haraldsgade-kvarteret,1156,544,612
,,,,Vesterbro - Vest,1071,546,525
,,,,Vesterbro - Central,2748,1277,1471
,,,,Vesterbro - Øst,1026,500,526
,,,,Vesterbro - Syd,364,191,173
,,,,Kgs. Enghave - Bavnehøj,637,303,334
,,,,Kgs. Enghave - Gl. Sydhavn,1499,699,800
,,,,Kgs. Enghave - Holmene,1427,803,624
,,,,Valby - Gl. Valby,1464,699,765
,,,,Valby - Syd,1942,989,953
,,,,Valby - Ålholm,922,471,451
,,,,Valby - Valby Sydvest,1514,749,765
,,,,Valby - Vigerslev,497,233,264
,,,,Vanløse - Jyllingevej Kvarter,830,446,384
,,,,Vanløse - Jernbane Allé Kvarter,1474,751,723
,,,,Vanløse - Sallingvej Kvarter,876,421,455
,,,,Vanløse - Grøndals Park Kvarter,451,240,211
,,,,Brønshøj-Husum - Husum,886,469,417
,,,,Brønshøj-Husum - Husum Nord,381,197,184
,,,,Brønshøj-Husum - Tingbjerg,171,93,78
,,,,Brønshøj-Husum - Brønshøj,854,435,419
,,,,Brønshøj-Husum - Bellahøj,192,90,102
,,,,Bispebjerg - Emdrup,333,193,140
,,,,Bispebjerg- Ryparken-Lundehus,467,244,223
,,,,Bispebjerg - Bispebjerg,474,216,258
,,,,Bispebjerg - Utterslev,393,189,204
,,,,Bispebjerg - Nordvest,3445,1602,1843
,,,,Amager Øst - Amagerbro Øst,2964,1370,1594
,,,,Amager Øst - Sundbyøster,1589,750,839
,,,,Amager Øst - Villakvartererne,1431,688,743
,,,,Amager Øst - Nordøstamager,701,383,318
,,,,Amager Vest - Amagerbro Vest,850,397,453
,,,,Amager Vest - Bryggen Syd,309,184,125
,,,,Amager Vest - Faste Batteri,482,224,258
,,,,Amager Vest - Gamle Bryggen,682,351,331
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),509,220,289
,,,,Amager Vest - Kolonihavekvarteret,643,333,310
,,,,Amager Vest - Sundbyvester,1090,558,532
,,,,Amager Vest - Sundholmsvejs kvarteret,1088,486,602
,,,,Amager Vest - Urbanplanen,212,103,109
,,,,Amager Vest - Ørestad City,890,487,403
,,,,Amager Vest - Ørestad Syd,1196,655,541
,,,Vocational education and training programs and short-cycle higher education programs,København in total,62294,36228,26066
,,,,district - inner city,4271,2464,1807
,,,,district - Østerbro,7211,4023,3188
,,,,district - Nørrebro,5568,3335,2233
,,,,district - Vesterbro/Kongens Enghave,7260,4400,2860
,,,,district - Valby,7369,4234,3135
,,,,district - Vanløse,4975,2900,2075
,,,,district - Brønshøj-Husum,3815,2186,1629
,,,,district - Bispebjerg,4927,2921,2006
,,,,district - Amager Øst,7848,4525,3323
,,,,district - Amager Vest,8857,5076,3781
,,,,local committee - inner city,3208,1835,1373
,,,,local committee - Christianshavn,1063,629,434
,,,,local committee - Østerbro,7211,4023,3188
,,,,local committee - Nørrebro,5568,3335,2233
,,,,local committee - Vesterbro,3834,2354,1480
,,,,local committee - Kgs. Enghave,3426,2046,1380
,,,,local committee - Valby,7369,4234,3135
,,,,local committee - Vanløse,4975,2900,2075
,,,,local committee - Brønshøj-Husum,3815,2186,1629
,,,,local committee - Bispebjerg,4927,2921,2006
,,,,local committee - Amager Øst,7848,4525,3323
,,,,local committee - Amager Vest,8857,5076,3781
,,,,inner city - Middelalderbyen,623,365,258
,,,,inner city - Metropolzonen,198,126,72
,,,,inner city - Nansensgade-kvarteret,505,298,207
,,,,inner city - Øster Farimagsgade-kvarteret,463,241,222
,,,,inner city - Østerport,346,210,136
,,,,inner city - Frederiksstaden,815,442,373
,,,,inner city - Gammelholm og Nyhavn,258,153,105
,,,,Christianshavn - Neden Vandet,249,144,105
,,,,Christianshavn - Oven Vandet,572,340,232
,,,,Christianshavn - Holmen og Refshaleøen,242,145,97
,,,,Østerbro - Nord/Komponistkvarteret,276,162,114
,,,,Østerbro - Svanemøllen Syd/Øst,1128,639,489
,,,,Østerbro - yearshusgade Nord,891,524,367
,,,,Østerbro - yearshusgade Syd,1109,615,494
,,,,Østerbro - Rosenvænget,775,429,346
,,,,Østerbro - Ny Ryvang,285,159,126
,,,,Østerbro - Nord,390,196,194
,,,,Østerbro - Nordhavn,457,249,208
,,,,Østerbro - Lyngbyvej Vest,462,270,192
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,786,427,359
,,,,Østerbro - Fælled,652,353,299
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,878,526,352
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1300,802,498
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1481,881,600
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1153,710,443
,,,,Nørrebro - Haraldsgade-kvarteret,756,416,340
,,,,Vesterbro - Vest,887,530,357
,,,,Vesterbro - Central,1973,1230,743
,,,,Vesterbro - Øst,545,335,210
,,,,Vesterbro - Syd,429,259,170
,,,,Kgs. Enghave - Bavnehøj,384,239,145
,,,,Kgs. Enghave - Gl. Sydhavn,1641,974,667
,,,,Kgs. Enghave - Holmene,1401,833,568
,,,,Valby - Gl. Valby,1427,816,611
,,,,Valby - Syd,2274,1313,961
,,,,Valby - Ålholm,1270,735,535
,,,,Valby - Valby Sydvest,1498,832,666
,,,,Valby - Vigerslev,900,538,362
,,,,Vanløse - Jyllingevej Kvarter,1236,702,534
,,,,Vanløse - Jernbane Allé Kvarter,1909,1093,816
,,,,Vanløse - Sallingvej Kvarter,1185,734,451
,,,,Vanløse - Grøndals Park Kvarter,645,371,274
,,,,Brønshøj-Husum - Husum,1724,1015,709
,,,,Brønshøj-Husum - Husum Nord,570,309,261
,,,,Brønshøj-Husum - Tingbjerg,168,81,87
,,,,Brønshøj-Husum - Brønshøj,1067,610,457
,,,,Brønshøj-Husum - Bellahøj,286,171,115
,,,,Bispebjerg - Emdrup,394,233,161
,,,,Bispebjerg- Ryparken-Lundehus,612,350,262
,,,,Bispebjerg - Bispebjerg,686,404,282
,,,,Bispebjerg - Utterslev,503,284,219
,,,,Bispebjerg - Nordvest,2732,1650,1082
,,,,Amager Øst - Amagerbro Øst,2862,1662,1200
,,,,Amager Øst - Sundbyøster,2098,1203,895
,,,,Amager Øst - Villakvartererne,1984,1152,832
,,,,Amager Øst - Nordøstamager,904,508,396
,,,,Amager Vest - Amagerbro Vest,837,484,353
,,,,Amager Vest - Bryggen Syd,543,287,256
,,,,Amager Vest - Faste Batteri,365,219,146
,,,,Amager Vest - Gamle Bryggen,911,554,357
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),206,123,83
,,,,Amager Vest - Kolonihavekvarteret,524,291,233
,,,,Amager Vest - Sundbyvester,1599,914,685
,,,,Amager Vest - Sundholmsvejs kvarteret,1288,716,572
,,,,Amager Vest - Urbanplanen,498,264,234
,,,,Amager Vest - Ørestad City,876,529,347
,,,,Amager Vest - Ørestad Syd,1210,695,515
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,81883,33936,47947
,,,,district - inner city,7264,3140,4124
,,,,district - Østerbro,11049,4426,6623
,,,,district - Nørrebro,12096,4952,7144
,,,,district - Vesterbro/Kongens Enghave,10667,4568,6099
,,,,district - Valby,7469,3174,4295
,,,,district - Vanløse,5439,2112,3327
,,,,district - Brønshøj-Husum,3654,1477,2177
,,,,district - Bispebjerg,6827,2748,4079
,,,,district - Amager Øst,7873,3282,4591
,,,,district - Amager Vest,9411,3985,5426
,,,,local committee - inner city,5581,2462,3119
,,,,local committee - Christianshavn,1683,678,1005
,,,,local committee - Østerbro,11049,4426,6623
,,,,local committee - Nørrebro,12096,4952,7144
,,,,local committee - Vesterbro,6835,2919,3916
,,,,local committee - Kgs. Enghave,3832,1649,2183
,,,,local committee - Valby,7469,3174,4295
,,,,local committee - Vanløse,5439,2112,3327
,,,,local committee - Brønshøj-Husum,3654,1477,2177
,,,,local committee - Bispebjerg,6827,2748,4079
,,,,local committee - Amager Øst,7873,3282,4591
,,,,local committee - Amager Vest,9411,3985,5426
,,,,inner city - Middelalderbyen,1093,511,582
,,,,inner city - Metropolzonen,304,139,165
,,,,inner city - Nansensgade-kvarteret,961,414,547
,,,,inner city - Øster Farimagsgade-kvarteret,896,374,522
,,,,inner city - Østerport,561,237,324
,,,,inner city - Frederiksstaden,1414,633,781
,,,,inner city - Gammelholm og Nyhavn,352,154,198
,,,,Christianshavn - Neden Vandet,351,152,199
,,,,Christianshavn - Oven Vandet,910,342,568
,,,,Christianshavn - Holmen og Refshaleøen,422,184,238
,,,,Østerbro - Nord/Komponistkvarteret,488,200,288
,,,,Østerbro - Svanemøllen Syd/Øst,1456,555,901
,,,,Østerbro - yearshusgade Nord,1522,625,897
,,,,Østerbro - yearshusgade Syd,1806,722,1084
,,,,Østerbro - Rosenvænget,1490,588,902
,,,,Østerbro - Ny Ryvang,239,104,135
,,,,Østerbro - Nord,471,196,275
,,,,Østerbro - Nordhavn,639,306,333
,,,,Østerbro - Lyngbyvej Vest,633,251,382
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,1110,455,655
,,,,Østerbro - Fælled,1195,424,771
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1994,781,1213
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,3208,1337,1871
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,2849,1168,1681
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2628,1119,1509
,,,,Nørrebro - Haraldsgade-kvarteret,1417,547,870
,,,,Vesterbro - Vest,1580,681,899
,,,,Vesterbro - Central,3702,1534,2168
,,,,Vesterbro - Øst,1134,500,634
,,,,Vesterbro - Syd,419,204,215
,,,,Kgs. Enghave - Bavnehøj,611,250,361
,,,,Kgs. Enghave - Gl. Sydhavn,1472,567,905
,,,,Kgs. Enghave - Holmene,1749,832,917
,,,,Valby - Gl. Valby,1805,754,1051
,,,,Valby - Syd,2366,1032,1334
,,,,Valby - Ålholm,1191,499,692
,,,,Valby - Valby Sydvest,1410,616,794
,,,,Valby - Vigerslev,697,273,424
,,,,Vanløse - Jyllingevej Kvarter,1436,563,873
,,,,Vanløse - Jernbane Allé Kvarter,1994,766,1228
,,,,Vanløse - Sallingvej Kvarter,1284,511,773
,,,,Vanløse - Grøndals Park Kvarter,725,272,453
,,,,Brønshøj-Husum - Husum,1523,631,892
,,,,Brønshøj-Husum - Husum Nord,420,159,261
,,,,Brønshøj-Husum - Tingbjerg,113,48,65
,,,,Brønshøj-Husum - Brønshøj,1353,546,807
,,,,Brønshøj-Husum - Bellahøj,245,93,152
,,,,Bispebjerg - Emdrup,428,171,257
,,,,Bispebjerg- Ryparken-Lundehus,645,252,393
,,,,Bispebjerg - Bispebjerg,750,302,448
,,,,Bispebjerg - Utterslev,576,230,346
,,,,Bispebjerg - Nordvest,4428,1793,2635
,,,,Amager Øst - Amagerbro Øst,3173,1309,1864
,,,,Amager Øst - Sundbyøster,1899,749,1150
,,,,Amager Øst - Villakvartererne,1835,752,1083
,,,,Amager Øst - Nordøstamager,966,472,494
,,,,Amager Vest - Amagerbro Vest,1140,443,697
,,,,Amager Vest - Bryggen Syd,588,284,304
,,,,Amager Vest - Faste Batteri,599,261,338
,,,,Amager Vest - Gamle Bryggen,1112,446,666
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),563,234,329
,,,,Amager Vest - Kolonihavekvarteret,652,280,372
,,,,Amager Vest - Sundbyvester,1384,562,822
,,,,Amager Vest - Sundholmsvejs kvarteret,1214,469,745
,,,,Amager Vest - Urbanplanen,254,84,170
,,,,Amager Vest - Ørestad City,840,451,389
,,,,Amager Vest - Ørestad Syd,1065,471,594
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,96217,45290,50927
,,,,district - inner city,10085,4917,5168
,,,,district - Østerbro,14674,7078,7596
,,,,district - Nørrebro,13673,6124,7549
,,,,district - Vesterbro/Kongens Enghave,13498,6367,7131
,,,,district - Valby,7931,3681,4250
,,,,district - Vanløse,5955,2812,3143
,,,,district - Brønshøj-Husum,4576,2114,2462
,,,,district - Bispebjerg,6668,3062,3606
,,,,district - Amager Øst,8352,3893,4459
,,,,district - Amager Vest,10486,5073,5413
,,,,local committee - inner city,7820,3859,3961
,,,,local committee - Christianshavn,2265,1058,1207
,,,,local committee - Østerbro,14674,7078,7596
,,,,local committee - Nørrebro,13673,6124,7549
,,,,local committee - Vesterbro,9574,4450,5124
,,,,local committee - Kgs. Enghave,3924,1917,2007
,,,,local committee - Valby,7931,3681,4250
,,,,local committee - Vanløse,5955,2812,3143
,,,,local committee - Brønshøj-Husum,4576,2114,2462
,,,,local committee - Bispebjerg,6668,3062,3606
,,,,local committee - Amager Øst,8352,3893,4459
,,,,local committee - Amager Vest,10486,5073,5413
,,,,inner city - Middelalderbyen,1310,688,622
,,,,inner city - Metropolzonen,455,235,220
,,,,inner city - Nansensgade-kvarteret,1345,645,700
,,,,inner city - Øster Farimagsgade-kvarteret,1614,762,852
,,,,inner city - Østerport,829,399,430
,,,,inner city - Frederiksstaden,1733,852,881
,,,,inner city - Gammelholm og Nyhavn,534,278,256
,,,,Christianshavn - Neden Vandet,490,242,248
,,,,Christianshavn - Oven Vandet,1101,498,603
,,,,Christianshavn - Holmen og Refshaleøen,674,318,356
,,,,Østerbro - Nord/Komponistkvarteret,817,373,444
,,,,Østerbro - Svanemøllen Syd/Øst,1544,774,770
,,,,Østerbro - yearshusgade Nord,1976,920,1056
,,,,Østerbro - yearshusgade Syd,2522,1186,1336
,,,,Østerbro - Rosenvænget,2160,1014,1146
,,,,Østerbro - Ny Ryvang,231,113,118
,,,,Østerbro - Nord,787,374,413
,,,,Østerbro - Nordhavn,1239,693,546
,,,,Østerbro - Lyngbyvej Vest,757,369,388
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,1238,612,626
,,,,Østerbro - Fælled,1403,650,753
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,2520,1144,1376
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,3372,1484,1888
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,3559,1582,1977
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2979,1359,1620
,,,,Nørrebro - Haraldsgade-kvarteret,1243,555,688
,,,,Vesterbro - Vest,2587,1214,1373
,,,,Vesterbro - Central,4708,2106,2602
,,,,Vesterbro - Øst,1522,719,803
,,,,Vesterbro - Syd,757,411,346
,,,,Kgs. Enghave - Bavnehøj,415,179,236
,,,,Kgs. Enghave - Gl. Sydhavn,1270,557,713
,,,,Kgs. Enghave - Holmene,2239,1181,1058
,,,,Valby - Gl. Valby,1927,892,1035
,,,,Valby - Syd,2621,1206,1415
,,,,Valby - Ålholm,1325,592,733
,,,,Valby - Valby Sydvest,1452,703,749
,,,,Valby - Vigerslev,606,288,318
,,,,Vanløse - Jyllingevej Kvarter,1878,893,985
,,,,Vanløse - Jernbane Allé Kvarter,1692,817,875
,,,,Vanløse - Sallingvej Kvarter,1543,727,816
,,,,Vanløse - Grøndals Park Kvarter,842,375,467
,,,,Brønshøj-Husum - Husum,1954,890,1064
,,,,Brønshøj-Husum - Husum Nord,325,145,180
,,,,Brønshøj-Husum - Tingbjerg,70,31,39
,,,,Brønshøj-Husum - Brønshøj,2023,940,1083
,,,,Brønshøj-Husum - Bellahøj,204,108,96
,,,,Bispebjerg - Emdrup,595,269,326
,,,,Bispebjerg- Ryparken-Lundehus,523,251,272
,,,,Bispebjerg - Bispebjerg,657,290,367
,,,,Bispebjerg - Utterslev,656,296,360
,,,,Bispebjerg - Nordvest,4237,1956,2281
,,,,Amager Øst - Amagerbro Øst,3011,1397,1614
,,,,Amager Øst - Sundbyøster,1909,899,1010
,,,,Amager Øst - Villakvartererne,2143,978,1165
,,,,Amager Øst - Nordøstamager,1289,619,670
,,,,Amager Vest - Amagerbro Vest,1215,552,663
,,,,Amager Vest - Bryggen Syd,1164,595,569
,,,,Amager Vest - Faste Batteri,821,429,392
,,,,Amager Vest - Gamle Bryggen,1493,662,831
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),397,204,193
,,,,Amager Vest - Kolonihavekvarteret,567,268,299
,,,,Amager Vest - Sundbyvester,1632,746,886
,,,,Amager Vest - Sundholmsvejs kvarteret,983,473,510
,,,,Amager Vest - Urbanplanen,170,72,98
,,,,Amager Vest - Ørestad City,810,435,375
,,,,Amager Vest - Ørestad Syd,1234,637,597
,,Western ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,7561,4089,3472
,,,,district - inner city,863,459,404
,,,,district - Østerbro,828,438,390
,,,,district - Nørrebro,777,396,381
,,,,district - Vesterbro/Kongens Enghave,1063,588,475
,,,,district - Valby,687,390,297
,,,,district - Vanløse,355,203,152
,,,,district - Brønshøj-Husum,378,204,174
,,,,district - Bispebjerg,588,314,274
,,,,district - Amager Øst,666,356,310
,,,,district - Amager Vest,1232,658,574
,,,,local committee - inner city,675,351,324
,,,,local committee - Christianshavn,188,108,80
,,,,local committee - Østerbro,828,438,390
,,,,local committee - Nørrebro,777,396,381
,,,,local committee - Vesterbro,612,351,261
,,,,local committee - Kgs. Enghave,451,237,214
,,,,local committee - Valby,687,390,297
,,,,local committee - Vanløse,355,203,152
,,,,local committee - Brønshøj-Husum,378,204,174
,,,,local committee - Bispebjerg,588,314,274
,,,,local committee - Amager Øst,666,356,310
,,,,local committee - Amager Vest,1232,658,574
,,,,inner city - Middelalderbyen,163,78,85
,,,,inner city - Metropolzonen,49,23,26
,,,,inner city - Nansensgade-kvarteret,71,41,30
,,,,inner city - Øster Farimagsgade-kvarteret,67,32,35
,,,,inner city - Østerport,81,53,28
,,,,inner city - Frederiksstaden,142,73,69
,,,,inner city - Gammelholm og Nyhavn,102,51,51
,,,,Christianshavn - Neden Vandet,52,30,22
,,,,Christianshavn - Oven Vandet,82,45,37
,,,,Christianshavn - Holmen og Refshaleøen,54,33,21
,,,,Østerbro - Nord/Komponistkvarteret,35,19,16
,,,,Østerbro - Svanemøllen Syd/Øst,108,62,46
,,,,Østerbro - yearshusgade Nord,75,39,36
,,,,Østerbro - yearshusgade Syd,107,65,42
,,,,Østerbro - Rosenvænget,96,46,50
,,,,Østerbro - Ny Ryvang,36,18,18
,,,,Østerbro - Nord,70,30,40
,,,,Østerbro - Nordhavn,103,48,55
,,,,Østerbro - Lyngbyvej Vest,46,27,19
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,64,36,28
,,,,Østerbro - Fælled,88,48,40
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,164,84,80
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,175,90,85
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,141,74,67
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,182,93,89
,,,,Nørrebro - Haraldsgade-kvarteret,115,55,60
,,,,Vesterbro - Vest,133,77,56
,,,,Vesterbro - Central,255,134,121
,,,,Vesterbro - Øst,136,90,46
,,,,Vesterbro - Syd,88,50,38
,,,,Kgs. Enghave - Bavnehøj,32,18,14
,,,,Kgs. Enghave - Gl. Sydhavn,164,88,76
,,,,Kgs. Enghave - Holmene,255,131,124
,,,,Valby - Gl. Valby,132,71,61
,,,,Valby - Syd,220,121,99
,,,,Valby - Ålholm,69,46,23
,,,,Valby - Valby Sydvest,181,99,82
,,,,Valby - Vigerslev,85,53,32
,,,,Vanløse - Jyllingevej Kvarter,113,71,42
,,,,Vanløse - Jernbane Allé Kvarter,111,60,51
,,,,Vanløse - Sallingvej Kvarter,93,51,42
