"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,Brønshøj-Husum - Bellahøj,531,219,312
,,,,Bispebjerg - Emdrup,656,252,404
,,,,Bispebjerg- Ryparken-Lundehus,1080,431,649
,,,,Bispebjerg - Bispebjerg,1037,435,602
,,,,Bispebjerg - Utterslev,941,382,559
,,,,Bispebjerg - Nordvest,6827,2902,3925
,,,,Amager Øst - Amagerbro Øst,4491,1903,2588
,,,,Amager Øst - Sundbyøster,2484,1018,1466
,,,,Amager Øst - Villakvartererne,2608,1129,1479
,,,,Amager Øst - Nordøstamager,1925,914,1011
,,,,Amager Vest - Amagerbro Vest,1388,553,835
,,,,Amager Vest - Bryggen Syd,885,403,482
,,,,Amager Vest - Faste Batteri,1141,516,625
,,,,Amager Vest - Gamle Bryggen,1389,565,824
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),971,429,542
,,,,Amager Vest - Kolonihavekvarteret,1223,547,676
,,,,Amager Vest - Sundbyvester,2004,867,1137
,,,,Amager Vest - Sundholmsvejs kvarteret,2115,860,1255
,,,,Amager Vest - Urbanplanen,466,176,290
,,,,Amager Vest - Ørestad City,2676,1298,1378
,,,,Amager Vest - Ørestad Syd,2857,1333,1524
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,142158,67484,74674
,,,,district - inner city,14314,6961,7353
,,,,district - Østerbro,20217,9724,10493
,,,,district - Nørrebro,18393,8321,10072
,,,,district - Vesterbro/Kongens Enghave,20927,9909,11018
,,,,district - Valby,12119,5652,6467
,,,,district - Vanløse,7802,3681,4121
,,,,district - Brønshøj-Husum,6561,3197,3364
,,,,district - Bispebjerg,10356,4912,5444
,,,,district - Amager Øst,12439,5798,6641
,,,,district - Amager Vest,18162,8844,9318
,,,,local committee - inner city,11232,5537,5695
,,,,local committee - Christianshavn,3082,1424,1658
,,,,local committee - Østerbro,20217,9724,10493
,,,,local committee - Nørrebro,18393,8321,10072
,,,,local committee - Vesterbro,13250,6189,7061
,,,,local committee - Kgs. Enghave,7677,3720,3957
,,,,local committee - Valby,12119,5652,6467
,,,,local committee - Vanløse,7802,3681,4121
,,,,local committee - Brønshøj-Husum,6561,3197,3364
,,,,local committee - Bispebjerg,10356,4912,5444
,,,,local committee - Amager Øst,12439,5798,6641
,,,,local committee - Amager Vest,18162,8844,9318
,,,,inner city - Middelalderbyen,2235,1160,1075
,,,,inner city - Metropolzonen,744,377,367
,,,,inner city - Nansensgade-kvarteret,1786,866,920
