Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Brønshøj-Husum - Bellahøj;3086;1524;1562
;;;Bispebjerg - Emdrup;3548;1801;1747
;;;Bispebjerg- Ryparken-Lundehus;5399;2603;2796
;;;Bispebjerg - Bispebjerg;5269;2584;2685
;;;Bispebjerg - Utterslev;4893;2359;2534
;;;Bispebjerg - Nordvest;27170;13491;13679
;;;Amager Øst - Amagerbro Øst;20098;9632;10466
;;;Amager Øst - Sundbyøster;12246;5896;6350
;;;Amager Øst - Villakvartererne;12340;6045;6295
;;;Amager Øst - Nordøstamager;7671;3828;3843
;;;Amager Vest - Amagerbro Vest;6031;2832;3199
;;;Amager Vest - Bryggen Syd;4206;2157;2049
;;;Amager Vest - Faste Batteri;4069;2016;2053
;;;Amager Vest - Gamle Bryggen;6393;3068;3325
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2855;1372;1483
;;;Amager Vest - Kolonihavekvarteret;4756;2395;2361
;;;Amager Vest - Sundbyvester;10519;5137;5382
;;;Amager Vest - Sundholmsvejs kvarteret;9968;4780;5188
;;;Amager Vest - Urbanplanen;3843;1810;2033
;;;Amager Vest - Ørestad City;8803;4588;4215
;;;Amager Vest - Ørestad Syd;10537;5403;5134
;Income amount (1,000 DKK);Business income/Earned income;København i alt;187558808;104333174;83225634
;;;Bydel - Indre By;19578148;11615838;7962310
;;;Bydel - Østerbro;26587366;14792157;11795209
;;;Bydel - Nørrebro;19581491;10109835;9471656
;;;Bydel - Vesterbro/Kongens Enghave;25800178;14401797;11398381
;;;Bydel - Valby;17763017;9830083;7932934
;;;Bydel - Vanløse;11506572;6307105;5199467
;;;Bydel - Brønshøj-Husum;10268883;5743671;4525211
;;;Bydel - Bispebjerg;12793326;6911806;5881520
;;;Bydel - Amager Øst;17771736;9841415;7930321
;;;Bydel - Amager Vest;25511325;14515659;10995666
;;;Bydel - Uden for inddeling;396766;263808;132958
;;;Lokaludvalg - Indre By;15594551;9366485;6228066
;;;Lokaludvalg - Christianshavn;3983596;2249353;1734244
;;;Lokaludvalg - Østerbro;26587366;14792157;11795209
;;;Lokaludvalg - Nørrebro;19581491;10109835;9471656
