"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,73 years,422
,,74 years,437
,,75 years,400
,,76 years,371
,,77 years,369
,,78 years,421
,,79 years,351
,,80 years,339
,,81 years,271
,,82 years,277
,,83 years,210
,,84 years,160
,,85 years,127
,,86 years,126
,,87 years,95
,,88 years,83
,,89 years,68
,,90 years,65
,,91 years,56
,,92 years,41
,,93 years,24
,,94 years,20
,,95 years,26
,,96 years,14
,,97 years,9
,,98 years,8
,,99+ years,15
,Quarter - Uden for inddeling,0 years,12
,,1 years,25
,,2 years,31
,,3 years,19
,,4 years,27
,,5 years,23
,,6 years,26
,,7 years,19
,,8 years,18
,,9 years,10
,,10 years,10
,,11 years,15
,,12 years,17
,,13 years,11
,,14 years,9
,,15 years,10
,,16 years,4
,,17 years,7
,,18 years,12
,,19 years,15
,,20 years,26
,,21 years,40
,,22 years,54
,,23 years,90
,,24 years,96
,,25 years,134
,,26 years,125
,,27 years,118
,,28 years,104
,,29 years,119
,,30 years,120
,,31 years,141
,,32 years,149
,,33 years,134
,,34 years,132
,,35 years,132
,,36 years,141
,,37 years,101
,,38 years,82
,,39 years,78
,,40 years,83
,,41 years,68
,,42 years,58
,,43 years,65
,,44 years,55
,,45 years,52
,,46 years,75
,,47 years,54
,,48 years,53
,,49 years,47
,,50 years,50
,,51 years,39
,,52 years,45
,,53 years,47
,,54 years,39
,,55 years,41
,,56 years,32
,,57 years,44
,,58 years,52
,,59 years,32
,,60 years,39
,,61 years,35
,,62 years,31
,,63 years,25
,,64 years,23
,,65 years,14
,,66 years,17
,,67 years,14
,,68 years,6
,,69 years,8
,,70 years,7
,,71 years,5
,,72 years,3
,,73 years,4
,,74 years,0
,,75 years,3
,,76 years,2
,,77 years,2
,,78 years,1
,,79 years,3
,,80 years,1
,,81 years,0
,,82 years,0
,,83 years,0
,,84 years,0
,,85 years,1
,,86 years,0
,,87 years,1
,,88 years,0
,,89 years,0
,,90 years,0
,,91 years,0
,,92 years,0
,,93 years,0
,,94 years,0
,,95 years,0
,,96 years,0
,,97 years,0
,,98 years,0
,,99+ years,1
,Local committee - inner city,0 years,496
,,1 years,381
,,2 years,301
,,3 years,296
,,4 years,337
,,5 years,259
