Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Valby - Syd;12660;6476;6184
;;;Valby - Ålholm;5742;2918;2824
;;;Valby - Valby Sydvest;8829;4568;4261
;;;Valby - Vigerslev;4059;2109;1950
;;;Vanløse - Jyllingevej Kvarter;6555;3302;3253
;;;Vanløse - Jernbane Allé Kvarter;8520;4258;4262
;;;Vanløse - Sallingvej Kvarter;5805;2932;2873
;;;Vanløse - Grøndals Park Kvarter;3028;1491;1537
;;;Brønshøj-Husum - Husum;8497;4451;4046
;;;Brønshøj-Husum - Husum Nord;4246;2209;2037
;;;Brønshøj-Husum - Tingbjerg;2232;1167;1065
;;;Brønshøj-Husum - Brønshøj;5999;2989;3010
;;;Brønshøj-Husum - Bellahøj;1840;928;912
;;;Bispebjerg - Emdrup;2170;1130;1040
;;;Bispebjerg- Ryparken-Lundehus;3370;1693;1677
;;;Bispebjerg - Bispebjerg;3290;1650;1640
;;;Bispebjerg - Utterslev;3233;1640;1593
;;;Bispebjerg - Nordvest;19299;9621;9678
;;;Amager Øst - Amagerbro Øst;14521;7093;7428
;;;Amager Øst - Sundbyøster;8650;4334;4316
;;;Amager Øst - Villakvartererne;8933;4467;4466
;;;Amager Øst - Nordøstamager;6144;3189;2955
;;;Amager Vest - Amagerbro Vest;4457;2138;2319
;;;Amager Vest - Bryggen Syd;3342;1741;1601
;;;Amager Vest - Faste Batteri;3109;1608;1501
;;;Amager Vest - Gamle Bryggen;4758;2353;2405
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2256;1092;1164
;;;Amager Vest - Kolonihavekvarteret;3125;1591;1534
;;;Amager Vest - Sundbyvester;7239;3635;3604
;;;Amager Vest - Sundholmsvejs kvarteret;6540;3201;3339
;;;Amager Vest - Urbanplanen;1987;994;993
;;;Amager Vest - Ørestad City;6813;3699;3114
;;;Amager Vest - Ørestad Syd;8074;4378;3696
;;Danish citizenship;København i alt;284878;142054;142824
;;;Bydel - Indre By;26425;13300;13125
;;;Bydel - Østerbro;38667;18992;19675
;;;Bydel - Nørrebro;36162;17235;18927
;;;Bydel - Vesterbro/Kongens Enghave;36892;18646;18246
;;;Bydel - Valby;27949;14196;13753
;;;Bydel - Vanløse;19070;9518;9552
;;;Bydel - Brønshøj-Husum;14148;7115;7033
;;;Bydel - Bispebjerg;21044;10366;10678
;;;Bydel - Amager Øst;29176;14591;14585
;;;Bydel - Amager Vest;34806;17751;17055
;;;Lokaludvalg - Indre By;20563;10402;10161
;;;Lokaludvalg - Christianshavn;5862;2898;2964
;;;Lokaludvalg - Østerbro;38667;18992;19675
;;;Lokaludvalg - Nørrebro;36162;17235;18927
;;;Lokaludvalg - Vesterbro;23915;11789;12126
